iter	Passed	Remaining
933	2617	184
934	2620	182
935	2623	179
936	2626	176
937	2628	173
938	2631	170
939	2634	168
940	2637	165
941	2640	162
942	2642	159
943	2645	156
944	2648	154
945	2651	151
946	2653	148
947	2656	145
948	2659	142
949	2661	140
950	2664	137
951	2667	134
952	2670	131
953	2673	128
954	2675	126
955	2678	123
956	2681	120
957	2684	117
958	2687	114
959	2690	112
960	2693	109
961	2696	106
962	2699	103
963	2702	100
964	2705	98
965	2708	95
966	2711	92
967	2714	89
968	2717	86
969	2720	84
970	2722	81
971	2725	78
972	2728	75
973	2731	72
974	2734	70
975	2736	67
976	2739	64
977	2741	61
978	2744	58
979	2747	56
980	2749	53
981	2752	50
982	2755	47
983	2770	45
984	2773	42
985	2775	39
986	2778	36
987	2781	33
988	2785	30
989	2787	28
990	2790	25
991	2793	22
992	2796	19
993	2799	16
994	2802	14
995	2805	11
996	2807	8
997	2810	5
998	2813	2
999	2816	0
